Application_number,Country,SOP,PS,LOR,GRE,Research,IELTS,Experience,Admit
118918,INT,4.9,3.9,4.2,338,0,1,1,0
171580,USA,3.9,2.8,2.3,308,0,1,1,0
190861,USA,3.7,3.0,4.8,278,0,0,1,0
131062,INT,1.4,5.0,2.0,327,0,0,1,0
150207,USA,4.8,5.0,3.4,316,1,0,2,1
137661,USA,1.1,1.8,2.4,290,1,0,1,0
129713,INT,4.7,3.4,3.0,315,1,1,2,0
109241,INT,1.6,2.1,2.9,298,0,0,2,1
114180,USA,1.7,2.8,2.8,331,1,0,1,1
181652,INT,1.2,3.2,3.3,281,1,0,1,0
107765,USA,1.6,3.7,2.2,323,0,0,2,0
127151,INT,1.2,3.5,4.4,309,1,1,1,0
143451,USA,1.4,2.2,4.0,324,1,1,1,0
147524,USA,2.7,2.4,4.0,269,0,1,1,1
124410,USA,3.3,2.4,1.8,323,0,0,1,0
141463,INT,5.0,1.0,5.0,298,1,1,2,0
190563,INT,1.4,4.4,4.1,270,1,1,1,0
176562,USA,1.7,4.4,2.5,330,0,0,2,0
195019,USA,2.2,2.2,4.8,295,1,1,2,0
130105,INT,4.0,3.7,2.6,266,0,1,1,1
166331,USA,4.1,4.3,3.1,260,0,1,2,1
121057,USA,3.6,2.0,2.5,301,0,0,1,1
141055,INT,3.4,1.6,2.6,318,0,0,2,1
185646,INT,3.5,4.3,4.1,305,1,1,1,1
132409,USA,4.2,4.2,4.1,335,1,0,2,1
159178,INT,3.4,2.9,1.1,269,0,0,1,0
141949,USA,2.6,4.0,3.3,300,1,1,1,1
199041,USA,3.5,2.6,2.5,284,1,1,1,0
138828,USA,2.8,3.6,1.3,288,1,1,2,1
131418,USA,4.9,4.7,1.2,334,0,0,1,1
165115,USA,2.4,3.9,5.0,284,1,1,1,1
175331,INT,1.8,2.0,1.2,303,0,1,2,0
120791,USA,4.5,2.8,4.5,311,0,1,2,0
196906,USA,4.6,3.7,3.7,269,0,1,2,0
101009,INT,2.7,2.2,2.5,300,0,0,1,0
113756,INT,2.3,2.0,3.1,269,0,0,1,1
164216,INT,4.3,2.5,4.3,301,1,1,2,1
179278,USA,4.6,2.1,3.6,261,0,0,2,0
179534,INT,3.3,2.1,1.2,302,1,1,1,1
163004,INT,3.0,3.7,1.1,332,1,0,1,0
196210,INT,3.7,3.6,2.2,295,1,0,1,0
115701,INT,4.0,1.6,4.6,332,0,1,2,1
118743,USA,3.1,5.0,3.2,328,1,0,1,1
194743,USA,1.6,2.6,3.6,306,0,0,1,1
110655,INT,4.0,4.2,1.3,308,0,0,2,0
116333,INT,2.6,2.9,3.8,301,0,1,2,1
144573,USA,2.4,4.1,3.7,306,1,1,2,1
111417,USA,2.8,3.5,4.4,336,1,1,1,0
114702,INT,3.2,3.8,2.9,262,1,1,1,0
180833,USA,4.0,3.4,2.3,283,1,1,1,1
193926,USA,2.1,3.6,4.8,269,0,1,1,0
171622,INT,3.0,3.7,3.6,272,0,1,2,1
137239,INT,3.6,4.5,1.8,284,0,1,1,1
104242,INT,3.0,3.9,1.1,323,0,0,2,1
175162,USA,2.4,3.9,2.8,302,1,1,1,1
189543,USA,2.1,1.2,3.3,315,0,1,2,1
176082,INT,3.5,3.3,4.9,313,1,1,1,0
127777,INT,2.8,2.3,4.7,276,0,0,2,0
197943,USA,1.9,4.5,4.1,290,0,1,1,1
195298,INT,2.0,4.5,4.1,288,1,0,2,0
166402,USA,1.2,1.4,2.6,323,1,1,1,1
138882,INT,1.9,2.1,2.4,307,0,0,1,1
105379,INT,1.1,4.6,2.6,296,1,1,1,0
142827,INT,2.5,3.4,1.6,317,0,0,2,0
144359,USA,4.4,3.4,4.8,291,1,1,2,0
134861,INT,3.5,4.9,4.1,264,0,0,2,0
100904,INT,3.5,3.6,2.9,305,1,1,1,1
195888,USA,4.4,4.7,4.0,327,1,0,1,1
192526,USA,3.0,1.9,1.6,278,1,0,2,1
100248,USA,3.5,1.7,2.0,284,1,0,2,0
108665,USA,1.3,4.0,2.8,297,1,1,1,1
150330,USA,3.1,1.5,3.0,297,1,0,1,1
158415,USA,4.3,2.4,1.5,275,1,0,1,1
186099,INT,4.7,3.2,2.0,268,0,0,2,1
154156,INT,3.0,3.8,1.8,278,0,1,1,0
104449,USA,2.1,2.0,3.0,297,0,1,2,0
177234,USA,2.0,1.4,4.2,276,1,0,1,1
199047,USA,1.4,4.0,1.6,339,0,0,2,1
138225,INT,3.7,3.8,2.5,296,0,1,2,1
174419,INT,2.6,4.6,1.8,262,1,0,1,0
115907,USA,2.5,1.5,2.1,269,1,0,1,1
155782,USA,2.3,1.1,4.1,302,1,1,1,0
110496,INT,4.5,2.7,4.4,277,0,0,2,1
124335,INT,1.5,3.9,1.6,265,1,1,2,1
146344,INT,4.6,4.1,2.1,281,0,0,1,0
103440,INT,4.5,1.8,1.4,299,1,0,1,1
136417,USA,1.2,4.5,1.6,262,0,1,1,1
109125,INT,3.6,4.2,2.3,261,1,1,2,0
173888,USA,4.1,1.7,2.0,320,0,0,1,0
140114,USA,4.8,4.8,4.5,294,1,1,1,0
177284,INT,3.3,2.5,1.3,294,1,1,1,1
133643,USA,4.4,2.4,3.6,337,0,0,1,0
189564,USA,2.9,2.2,3.5,307,0,0,1,0
111578,USA,2.4,2.3,4.8,297,1,0,2,0
105744,USA,3.7,4.2,2.7,278,1,0,2,0
100555,INT,3.8,2.6,2.9,296,1,0,2,0
180157,INT,4.7,4.0,1.9,335,1,1,1,0
198337,USA,1.3,4.5,4.5,283,1,0,2,1
150929,USA,4.1,2.8,4.3,298,1,0,1,1
149234,INT,1.6,1.6,3.6,277,1,0,2,1
176480,USA,3.0,4.6,2.4,294,0,1,2,1
179362,USA,2.4,3.7,1.9,297,1,0,2,0
156561,INT,3.4,4.3,1.6,301,0,1,1,0
178797,INT,2.2,2.1,1.9,321,0,1,2,1
122567,INT,4.3,4.1,3.0,317,1,0,2,1
148400,USA,2.5,2.6,3.5,312,1,0,1,1
164978,INT,2.0,1.2,2.8,304,1,0,1,1
152634,INT,3.8,3.4,2.5,321,1,1,1,1
156600,USA,3.7,2.8,4.8,280,0,0,1,1
179668,USA,4.9,3.7,3.6,270,0,0,2,0
177945,USA,4.2,4.9,2.1,280,0,0,2,1
123859,INT,4.5,2.0,2.2,304,0,1,2,0
190828,USA,2.3,1.2,1.9,276,0,1,1,0
147273,USA,1.8,4.4,2.2,294,0,1,1,1
139534,USA,4.9,3.9,4.4,337,1,1,2,0
173174,USA,4.4,3.2,2.6,281,0,1,1,0
151376,INT,3.3,1.8,3.0,324,1,0,2,1
197027,USA,2.0,1.7,3.6,271,0,1,1,0
191754,INT,4.1,2.8,1.3,327,0,1,1,1
156309,INT,2.8,4.8,1.1,315,1,0,1,0
174563,INT,2.0,4.4,3.5,302,1,1,2,1
193862,INT,3.2,3.6,1.3,315,1,1,2,1
198933,INT,1.4,2.9,2.0,312,0,0,2,1
104641,INT,3.4,2.6,3.0,296,1,0,1,0
123255,INT,2.2,4.8,1.1,293,0,1,2,1
119736,USA,3.1,1.8,3.9,263,1,0,1,1
191184,INT,4.2,2.8,4.8,270,1,1,1,1
148762,INT,1.1,3.4,3.0,319,0,0,1,1
164120,USA,1.5,3.5,3.2,329,1,0,1,0
140594,USA,3.6,1.2,3.0,271,1,0,2,1
100035,INT,4.0,4.3,4.6,301,0,0,2,1
147968,INT,4.8,4.1,3.0,300,0,0,1,0
126075,USA,4.3,3.4,2.3,308,1,1,1,1
174727,INT,3.6,1.6,3.3,337,1,1,2,0
121736,USA,2.3,4.5,4.3,262,0,1,1,1
197116,USA,4.0,1.1,4.4,310,1,0,2,1
156544,USA,3.8,4.1,3.1,286,1,0,2,0
122372,INT,1.0,4.4,4.6,289,1,1,1,0
169554,USA,2.9,4.8,4.5,315,0,0,2,1
141570,INT,4.7,4.4,2.8,338,0,0,1,1
127512,INT,2.6,4.5,1.4,326,0,0,1,0
129052,USA,1.4,1.8,2.7,324,1,1,1,1
173867,INT,3.1,3.5,2.8,288,1,1,2,1
134908,USA,3.5,4.9,4.6,321,0,1,2,0
165474,USA,1.1,2.9,4.8,299,0,1,2,1
188812,USA,4.3,1.5,3.8,282,1,1,2,1
169099,INT,1.2,1.8,4.3,320,0,1,2,1
188896,USA,4.9,4.1,2.1,308,0,0,2,0
106755,INT,4.7,2.4,1.7,334,1,1,2,1
132195,INT,3.1,1.4,4.7,298,1,1,2,0
159816,USA,3.6,3.2,2.1,301,0,1,2,1
118053,USA,3.2,2.8,3.8,263,0,0,1,0
171818,USA,4.4,2.8,1.1,333,0,1,2,1
124029,USA,2.7,3.1,3.8,338,1,1,2,1
184146,USA,3.4,4.1,4.4,315,0,1,2,0
102322,INT,1.2,1.1,1.1,276,0,0,2,1
145728,USA,2.0,4.6,3.3,262,1,0,1,0
124905,USA,4.3,3.0,3.4,261,1,1,1,0
157853,USA,4.6,4.5,2.9,266,0,0,2,1
136706,USA,2.3,2.5,3.1,300,1,1,1,0
100625,INT,4.1,2.6,4.7,336,0,1,1,1
189594,USA,3.3,2.0,4.4,291,0,0,2,0
106717,USA,4.1,3.2,4.8,316,0,1,1,1
168712,USA,1.1,2.8,5.0,267,1,1,2,1
172936,INT,2.4,2.9,3.4,316,1,0,2,1
108989,USA,1.0,1.7,3.0,325,0,1,2,1
181824,INT,1.9,2.1,1.2,287,0,1,1,1
182538,USA,1.4,4.2,4.7,335,0,1,2,0
169336,INT,3.2,2.0,3.7,332,1,1,2,0
139577,INT,1.8,2.2,3.4,302,1,0,1,1
183356,USA,4.7,2.9,4.3,324,0,1,1,0
142351,INT,2.6,3.2,4.6,286,1,0,1,0
128382,INT,4.6,3.2,5.0,268,0,0,2,0
113405,USA,4.5,4.7,3.4,286,0,0,2,0
109067,USA,3.6,3.3,1.6,275,1,1,1,0
164281,USA,4.4,2.5,4.8,280,0,0,1,1
188482,INT,1.3,1.5,2.1,263,1,1,1,0
161653,USA,4.9,1.3,2.3,288,0,1,2,0
159999,INT,2.0,2.4,3.8,307,1,0,2,0
109323,INT,5.0,2.0,2.5,273,0,1,2,1
153529,USA,1.2,1.8,3.9,273,0,0,1,0
135589,INT,1.6,2.9,3.2,287,1,0,2,1
192669,USA,2.7,2.0,3.6,319,0,1,2,1
113130,INT,1.5,4.9,4.1,287,0,0,2,1
108308,INT,1.7,3.4,1.8,287,0,0,2,1
107363,INT,4.4,1.1,3.2,321,1,0,1,1
145384,USA,3.1,3.1,3.1,286,0,0,1,1
135679,USA,4.9,3.3,1.0,331,0,1,1,1
135661,USA,3.7,1.9,4.0,312,1,0,1,0
116924,INT,1.9,3.9,1.5,290,0,0,2,1
145273,INT,3.5,1.1,4.2,292,1,1,2,0
113641,USA,3.2,2.0,1.4,288,0,1,2,1
102729,INT,1.2,2.0,4.6,307,1,0,1,1
194913,INT,3.9,4.3,4.9,301,1,0,1,1
196399,INT,1.5,4.8,4.6,279,1,0,1,1
193832,INT,2.3,3.6,2.9,304,0,0,1,0
135192,USA,4.1,2.1,3.9,300,0,1,2,0
161933,INT,4.2,1.8,4.0,281,1,1,1,1
163153,INT,1.3,1.0,3.9,331,0,0,2,0
121107,INT,2.7,4.4,5.0,265,0,1,1,0
195500,INT,5.0,3.8,4.7,311,1,1,2,0
193681,INT,3.3,4.1,4.3,275,1,0,1,0
100247,INT,2.1,1.4,2.4,326,0,1,1,0
194070,INT,1.5,4.1,4.1,339,1,0,1,0
119125,USA,1.1,4.2,3.0,272,0,1,1,1
136509,USA,2.8,2.4,4.5,308,0,1,1,0
100724,INT,3.3,4.2,3.3,299,1,0,2,1
134155,INT,4.9,4.4,3.5,315,0,1,1,0
154100,INT,4.1,1.7,1.4,307,1,0,2,0
104447,USA,4.5,4.3,3.9,304,0,0,1,1
171580,USA,4.0,3.3,1.4,332,0,1,2,1
120634,INT,2.1,3.7,2.6,262,0,1,1,1
157620,USA,1.5,2.2,2.5,264,0,0,1,1
183712,USA,3.3,4.4,3.0,271,1,0,1,0
163787,USA,4.8,2.7,3.4,291,1,1,1,0
117395,INT,2.8,2.2,3.7,290,1,0,2,1
107281,USA,2.7,1.9,2.2,337,0,1,2,1
153912,INT,4.5,1.8,1.7,334,1,0,2,1
193196,INT,2.3,1.6,1.5,290,0,0,2,1
188238,INT,4.2,4.4,2.5,274,1,0,1,1
147969,USA,3.0,1.2,2.8,334,1,0,2,1
155031,USA,3.6,2.9,3.1,332,0,0,1,1
107673,USA,4.7,2.4,2.5,293,0,1,1,1
185823,USA,4.2,1.9,2.8,296,1,1,1,0
139634,USA,1.2,3.9,4.4,280,0,0,1,0
136631,INT,4.3,1.4,2.1,299,1,0,1,0
132967,INT,1.9,2.0,1.4,303,1,1,1,1
137539,INT,2.4,2.9,1.3,299,0,0,2,1
133258,USA,2.9,2.7,5.0,277,0,1,1,0
169645,INT,2.8,4.8,1.2,268,0,1,1,0
186832,INT,2.1,1.1,2.6,303,0,1,1,0
193224,INT,4.6,1.8,1.7,313,0,1,2,1
166472,USA,3.9,3.1,2.8,291,1,1,2,0
104774,USA,5.0,2.4,1.5,299,1,1,2,1
184046,USA,2.0,3.1,5.0,290,1,1,1,0
120965,USA,3.2,4.0,3.8,320,0,0,2,1
156925,INT,2.4,2.6,3.6,281,0,0,1,1
178488,INT,3.0,2.1,3.6,327,1,0,1,0
130229,INT,1.8,3.1,4.1,324,0,0,1,1
196057,USA,2.0,1.8,2.4,301,1,0,2,0
197900,USA,1.6,4.9,4.3,337,0,1,1,0
178067,INT,2.2,4.9,1.9,313,1,1,2,1
188492,INT,4.7,4.4,2.6,266,1,0,1,1
110417,INT,4.5,2.3,2.5,303,0,1,1,1
167017,USA,2.7,2.0,4.8,307,0,1,2,1
159525,USA,2.4,1.7,2.8,289,0,0,2,1
106033,USA,5.0,1.7,3.3,261,0,1,2,1
134035,USA,4.8,2.5,2.9,287,1,1,1,0
174557,INT,4.1,1.8,4.7,283,1,1,2,0
189321,USA,1.3,3.9,1.8,298,1,0,2,1
122037,INT,1.7,1.5,1.3,303,1,0,1,1
169186,USA,4.7,4.5,3.5,271,0,0,1,1
187847,INT,4.4,2.7,2.4,327,0,1,1,1
109974,USA,1.1,4.3,2.7,303,1,1,1,0
162765,INT,2.9,4.5,2.7,335,1,0,1,1
144537,INT,3.5,3.0,1.3,278,0,1,2,0
149349,USA,1.1,1.3,1.2,313,0,0,1,1
167422,USA,4.2,1.5,4.0,284,1,1,1,0
186100,INT,3.9,3.8,4.8,312,0,0,1,0
150485,USA,2.2,4.1,4.8,323,0,1,2,0
136407,INT,2.6,4.0,2.9,338,1,0,1,0
173858,INT,4.4,3.3,3.7,296,1,0,1,0
167474,USA,3.7,4.1,1.2,310,1,1,2,0
125361,USA,2.2,2.0,3.1,287,1,0,1,1
130556,INT,1.1,2.9,3.9,277,1,0,1,0
176348,INT,1.9,3.1,1.3,313,0,0,2,0
124834,USA,4.9,2.1,2.7,287,1,0,2,1
148969,USA,4.9,4.8,2.0,315,0,0,1,0
132055,INT,3.3,4.4,2.7,261,0,0,1,1
175038,INT,3.5,2.0,2.1,308,1,1,1,1
103019,USA,2.7,3.8,3.2,315,1,0,2,1
152280,USA,4.4,1.7,4.7,304,0,0,1,1
128549,USA,1.9,3.0,4.9,326,1,1,2,1
116188,USA,1.5,4.9,2.8,309,1,1,1,0
127643,USA,4.5,1.9,4.5,333,0,1,1,1
158547,INT,4.3,2.7,3.3,269,0,0,2,0
184197,USA,1.0,4.6,1.8,267,1,0,2,0
112389,USA,1.1,2.7,4.7,312,1,0,1,1
141041,INT,4.2,2.7,4.8,301,1,0,1,1
121986,USA,2.9,1.6,4.5,293,1,1,2,1
139716,USA,3.2,1.5,2.5,281,1,0,1,1
116068,INT,2.9,1.7,3.5,323,1,1,1,1
118673,USA,4.2,4.6,4.4,264,0,1,2,0
197485,USA,3.5,4.3,3.7,299,0,1,2,0
164562,USA,1.7,3.6,4.4,333,1,0,1,1
164849,USA,4.8,2.9,1.3,331,0,1,2,1
154474,USA,4.7,3.2,5.0,293,1,0,2,1
120965,INT,3.1,4.1,5.0,336,0,1,2,1
177575,USA,2.7,2.4,4.9,288,1,0,2,1
118042,INT,3.2,4.8,4.8,308,1,1,2,1
114435,USA,4.5,1.3,1.9,318,0,0,1,0
102584,USA,3.0,1.0,2.8,320,0,0,1,0
119703,INT,1.1,3.5,2.1,307,0,1,1,0
125049,USA,4.1,4.1,3.0,275,0,1,2,1
154715,INT,2.0,4.7,4.2,315,1,1,2,0
133188,USA,1.9,1.9,2.0,335,0,0,2,1
142306,USA,4.9,4.4,1.1,299,1,1,2,1
158825,USA,2.8,3.5,4.3,299,0,0,1,0
143169,INT,2.6,4.4,2.8,301,0,0,2,0
120137,INT,3.8,2.3,5.0,313,0,0,2,1
181428,INT,4.3,3.8,2.4,269,0,0,1,1
138029,INT,2.6,4.3,3.8,275,0,0,1,0
119079,USA,4.4,3.8,1.1,314,1,1,2,1
153878,INT,2.0,4.5,2.0,286,1,0,2,0
160234,USA,1.8,3.0,5.0,335,1,0,1,0
158953,USA,4.0,1.8,3.6,266,0,1,2,0
167897,INT,1.7,1.2,1.2,334,1,0,1,1
195935,USA,1.7,3.7,4.8,331,1,0,1,0
103174,INT,2.2,3.6,1.4,335,1,0,1,1
103569,INT,2.8,4.7,4.3,328,1,1,1,1
119207,INT,3.9,2.3,3.1,305,0,1,2,1
126150,USA,2.3,3.1,1.2,268,1,1,2,0
132280,USA,2.3,2.8,4.8,334,0,1,1,1
164154,INT,4.7,1.6,4.1,271,0,1,1,0
130528,USA,3.4,2.2,4.1,273,0,1,1,1
154158,USA,1.6,4.2,4.4,321,0,1,1,0
125902,INT,3.9,3.2,1.6,299,0,1,1,0
115135,INT,2.8,4.2,3.8,312,0,0,2,0
165633,INT,4.1,3.5,3.0,265,0,0,2,0
125149,INT,1.8,4.0,1.6,315,0,0,2,1
181823,USA,4.7,4.5,4.1,284,0,1,1,1
112343,USA,4.5,3.6,4.0,278,1,1,2,1
191784,USA,2.8,4.4,2.2,309,0,0,2,0
122261,INT,4.4,5.0,3.0,260,0,1,2,1
139078,INT,2.9,3.8,2.6,322,1,1,1,0
102714,USA,1.4,3.2,1.3,327,1,0,2,1
186188,INT,4.9,1.0,2.7,276,0,0,1,0
192476,INT,2.9,3.3,2.7,263,1,0,2,0
125208,INT,3.7,2.7,4.3,265,1,0,1,1
108897,INT,2.4,3.9,2.0,318,1,0,2,1
174552,USA,4.3,4.0,4.2,314,1,0,2,0
146139,INT,4.4,3.7,3.3,288,1,0,1,1
169339,USA,4.2,3.5,4.7,281,0,0,2,1
121134,USA,3.8,1.9,2.0,330,0,1,1,0
164509,USA,2.5,4.1,3.8,309,0,0,2,0
115257,INT,4.6,3.2,4.5,323,0,0,1,0
117015,USA,1.1,4.7,2.3,279,0,1,1,0
135402,USA,2.7,3.6,3.0,283,0,0,2,0
140544,INT,2.4,3.3,3.0,264,0,0,2,1
138023,INT,1.4,2.2,3.2,310,1,1,2,0
171075,INT,1.4,3.7,2.0,276,0,0,1,0
147289,USA,1.2,4.4,1.9,289,1,1,1,0
119923,USA,3.9,4.0,2.4,302,0,0,1,1
101824,INT,2.8,2.2,2.3,297,1,1,2,0
112268,INT,4.4,1.1,2.4,302,0,0,1,1
188601,INT,4.0,1.1,3.6,276,0,0,2,0
106918,USA,1.2,4.8,1.2,323,0,1,2,1
100338,INT,2.1,3.3,2.3,303,0,1,2,0
155078,INT,1.9,2.8,1.7,292,0,1,2,0
163489,USA,4.9,1.4,1.6,263,1,1,1,0
118810,USA,1.4,3.9,4.3,314,1,1,2,1
172204,USA,3.5,2.0,1.3,339,0,0,1,1
176526,INT,4.3,2.9,4.7,283,0,1,1,1
180522,USA,2.6,3.3,3.1,270,1,0,2,0
113052,USA,2.4,3.8,4.4,327,0,1,2,0
168249,USA,1.7,2.0,3.5,275,1,1,2,1
138821,INT,3.4,2.9,4.2,294,1,0,2,1
163185,USA,1.9,1.7,4.0,326,0,0,2,0
199059,USA,4.7,2.0,1.8,269,1,1,1,0
179788,USA,3.7,3.1,2.8,283,1,1,2,0
127206,USA,2.3,4.3,3.4,313,1,1,2,1
129684,USA,2.3,3.4,4.7,322,0,1,1,1
158000,USA,3.1,1.2,1.7,290,0,1,2,1
163021,INT,4.6,3.4,4.1,326,1,1,2,1
113450,USA,3.3,1.2,4.1,275,0,1,1,1
194581,INT,3.5,1.4,1.0,331,0,0,2,1
175041,INT,3.0,2.5,3.3,271,0,1,1,1
182180,USA,3.1,2.8,2.5,292,1,1,1,1
145921,INT,2.3,2.6,1.4,315,1,1,2,0
157120,USA,2.2,4.6,1.6,331,0,1,2,0
182104,INT,1.6,3.0,4.8,305,1,1,1,0
150572,INT,4.4,3.6,3.2,284,0,1,2,1
190324,USA,1.8,4.2,2.5,287,0,1,2,0
109007,INT,3.9,4.7,2.0,282,1,0,1,1
133889,USA,4.1,2.4,1.8,260,1,0,2,1
106459,USA,4.2,3.7,2.8,321,0,1,2,1
108686,USA,1.2,3.8,4.2,261,0,1,1,1
147778,USA,4.3,5.0,3.4,316,0,0,2,0
101814,USA,2.4,3.7,1.5,305,0,0,2,1
191665,USA,4.7,1.0,3.3,334,1,0,1,1
186649,USA,1.9,1.3,4.7,296,1,0,2,1
155400,INT,4.0,4.9,4.6,316,0,1,2,1
134328,INT,4.1,3.1,3.5,262,1,1,2,1
120980,USA,1.8,1.4,2.6,334,0,0,1,1
113460,USA,2.9,1.0,1.2,283,0,0,2,0
162794,USA,4.5,1.2,3.4,268,0,1,1,0
150274,INT,1.9,1.6,3.4,336,1,1,2,1
127699,USA,2.0,4.4,3.4,307,0,1,2,1
101790,USA,2.2,2.7,3.5,295,0,1,1,1
160497,INT,1.1,1.2,3.1,278,1,1,1,0
132670,INT,1.4,2.3,3.9,327,0,0,1,1
107397,USA,2.3,2.0,4.5,308,1,0,2,1
115326,INT,1.4,1.3,3.4,330,1,1,1,1
144450,USA,1.3,2.6,4.9,329,1,0,2,1
196823,USA,2.4,3.6,4.8,336,0,0,2,1
188216,USA,4.4,3.6,4.4,285,1,0,2,1
125926,INT,1.9,2.1,2.7,274,1,1,1,1
165004,USA,4.5,2.5,4.3,325,1,1,2,1
109528,USA,1.5,3.3,2.2,323,1,0,2,0
101852,INT,4.8,3.3,4.7,318,1,1,1,1
165292,USA,2.1,2.2,4.1,284,1,0,1,0
158157,USA,1.6,3.2,4.2,273,1,1,1,1
165457,INT,4.9,1.9,1.1,309,1,0,1,0
179569,INT,3.7,2.6,4.6,286,0,1,2,0
185959,USA,4.2,4.4,4.8,304,0,0,1,1
175165,INT,4.4,1.0,2.3,309,1,0,1,1
117513,INT,4.6,4.9,4.2,299,1,0,2,1
105790,USA,3.0,2.6,4.7,294,0,1,1,1
183600,USA,4.3,1.3,2.9,319,0,0,2,0
103909,INT,3.4,1.4,2.8,319,1,0,1,1
186804,INT,2.4,1.3,3.4,334,0,0,1,1
154388,INT,3.4,2.1,1.5,313,0,1,1,0
100085,USA,2.2,4.5,1.5,283,1,0,2,0
129896,INT,1.2,2.8,4.1,315,0,1,1,0
166407,INT,3.3,1.5,2.9,265,1,1,1,0
194563,USA,2.1,1.1,4.1,306,1,0,1,1
129569,INT,4.6,4.0,3.9,260,0,0,2,0
149111,INT,4.0,1.9,1.6,317,0,0,2,1
104381,USA,4.8,1.5,3.2,322,1,0,1,0
104916,USA,3.6,1.2,4.9,325,1,0,2,0
144526,USA,4.0,1.1,4.2,334,1,0,2,0
128490,INT,4.9,3.4,1.2,267,0,1,1,1
180519,INT,1.2,2.2,1.3,287,1,0,2,1
103929,INT,4.9,2.7,1.7,316,0,0,2,1
107842,INT,2.8,4.6,1.7,261,0,0,2,1
172107,USA,4.8,2.8,4.1,334,0,0,1,0
146691,USA,1.9,4.1,3.4,279,1,1,2,1
199358,USA,4.0,4.1,3.5,291,0,0,2,0
180904,INT,2.3,2.8,4.5,281,0,1,2,0
189520,USA,1.6,2.0,1.3,321,0,1,2,1
184063,INT,4.5,3.8,1.7,311,1,1,1,1
153597,USA,5.0,1.4,2.5,279,0,1,2,0
153761,USA,1.6,1.3,2.2,315,0,0,1,0
